date,SENTIMENT_SCORE,link,description,SENTIMENT,NAMED_ENTITIES,title,KEY_PHRASES
"Thu, 10 Nov 2022 15:17 EST",0.9709845185279846,http://www.nasa.gov/press-release/pioneering-astronaut-bob-behnken-retires-from-nasa,"NASA astronaut and former U.S. Air Force Col. Bob Behnken is retiring from NASA after 22 years of service. His last day with the agency is Friday, Nov. 11.",NEUTRAL,"[NASA, U.S. Air Force, Col., Bob Behnken, NASA, 22 years, day, Friday, Nov. 11]",Pioneering Astronaut Bob Behnken Retires from NASA,"[NASA astronaut, former U.S. Air Force Col. Bob Behnken, NASA, 22 years, service, His last day, the agency, Friday, Nov. 11]"
"Thu, 10 Nov 2022 14:22 EST",0.9960709810256958,http://www.nasa.gov/press-release/nasa-to-brief-media-on-first-earth-water-monitoring-satellite-mission,"NASA will host a virtual media briefing at 10:30 a.m. EST (7:30 a.m. PST) Nov. 14, at the agency’s Jet Propulsion Laboratory in Southern California, to discuss the upcoming launch of the Surface Water and Ocean Topography (SWOT) satellite.",NEUTRAL,"[NASA, 10:30 a.m. EST, 7:30 a.m. PST, Nov. 14, Jet Propulsion Laboratory, Southern California, Surface Water and, Ocean Topography, SWOT]",NASA to Brief Media on First Earth Water-Monitoring Satellite Mission,"[NASA, a virtual media briefing, 10:30 a.m. EST, 7:30 a.m. PST, Nov. 14, the agency, ’s Jet Propulsion Laboratory, Southern California, the upcoming launch, Water, SWOT, satellite]"
"Fri, 11 Nov 2022",0.9349439740180969,https://www.mckinsey.com/capabilities/operations/our-insights/114-down-10-million-to-go-the-global-lighthouse-networks-mission,"Global Lighthouse Network members show that Fourth Industrial Revolution technologies help to deliver better workforce engagement, improved sustainability, and increased productivity.",NEUTRAL,"[Global Lighthouse Network, Fourth Industrial Revolution]","114 down, 10 million to go: The Global Lighthouse Network’s mission","[Global Lighthouse Network members, Fourth Industrial Revolution technologies, better workforce engagement, improved sustainability, increased productivity]"
"Thu, 10 Nov 2022",0.8780803680419922,https://www.mckinsey.com/industries/real-estate/our-insights/a-confluence-of-social-and-economic-factors-have-driven-outsized-returns-for-multifamily-investors,New data illuminates the structural factors driving multifamily performance.,NEUTRAL,[],A confluence of social and economic factors have driven outsized returns for multifamily investors,"[New data, the structural factors, multifamily performance]"
"Thu, 10 Nov 2022",0.47137466073036194,https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/when-things-get-rocky-practice-deliberate-calm,"When faced with an unfamiliar crisis, most leaders spring into action. But wait—here’s why it’s better for those in charge to pause instead of pounce.",MIXED,[],"When things get rocky, practice deliberate calm","[an unfamiliar crisis, most leaders, action, wait—here, charge, pounce]"
"Wed, 09 Nov 2022",0.7517033815383911,https://www.mckinsey.com/capabilities/sustainability/our-insights/net-zero-heat-long-duration-energy-storage-to-accelerate-energy-system-decarbonization,"Thermal energy storage has the potential to greatly contribute to decarbonizing global heat and power, while helping to ensure the energy system operates affordably, reliably, and efficiently.",NEUTRAL,[],Net-zero heat: Long-duration energy storage to accelerate energy system decarbonization,"[Thermal energy storage, the potential, global heat and power, the energy system]"
"Thu, 10 Nov 2022",0.8740370273590088,https://www.mckinsey.com/industries/technology-media-and-telecommunications/our-insights/hard-choices-how-europes-startups-can-navigate-the-journey-from-centaur-to-unicorn,Just one in ten start-ups valued at $100 million grows to $1 billion within four years. Here are five trade-offs they made to get there.,NEUTRAL,"[one, ten start-ups, $100 million, $1 billion, four years, five trade-offs]",Hard choices: How Europe’s start-ups can navigate the journey from centaur to unicorn,"[Just one, ten start-ups, $100 million, $1 billion, four years, five trade-offs]"
"Thu, 10 Nov 2022",0.927310049533844,https://www.mckinsey.com/capabilities/strategy-and-corporate-finance/our-insights/tim-koller-on-the-timeless-truths-of-corporate-finance,An expert on value creation shares insights from 20 years of leading McKinsey on Finance.,NEUTRAL,"[20 years, McKinsey]",Tim Koller on the timeless truths of corporate finance,"[An expert, value creation, insights, 20 years, leading McKinsey, Finance]"
"Wed, 02 Nov 2022",0.8017562627792358,https://www.mckinsey.com/id/our-insights/accelerating-the-green-transition-through-finance,"Achieving net zero will require substantial investment. Addressing the B20’s International Advocacy Caucus, McKinsey’s Bob Sternfels shared green-finance ideas.",NEUTRAL,"[zero, B20, International Advocacy Caucus, McKinsey, Bob Sternfels]",Accelerating the green transition through finance,"[Achieving, net zero, substantial investment, the B20, ’s International Advocacy Caucus, McKinsey, ’s Bob Sternfels, green-finance ideas]"
"Fri, 04 Nov 2022",0.6557230353355408,https://www.mckinsey.com/industries/automotive-and-assembly/our-insights/europes-ev-opportunity-and-the-charging-infrastructure-needed-to-meet-it,"To go carbon neutral by 2050, Europe needs more electric vehicles on the road—and many more EV chargers too. What will this build-out look like and what might it cost?",NEUTRAL,"[2050, Europe]",Europe’s EV opportunity—and the charging infrastructure needed to meet it,"[carbon neutral, 2050, Europe, more electric vehicles, the road—and, many more EV chargers, this build-out]"
"Wed, 02 Nov 2022",0.8580541014671326,https://www.mckinsey.com/industries/travel-logistics-and-infrastructure/our-insights/key-trends-in-us-logistics-according-to-70-cxos,The sector’s brightest minds have shed light on three key trends that logistics providers could implement in the face of market disruptions.,NEUTRAL,[three key trends],Key trends in US logistics according to 70 CXOs,"[The sector, ’s brightest minds, light, three key trends, logistics providers, the face, market disruptions]"
"Wed, 02 Nov 2022",0.6335979700088501,https://www.mckinsey.com/capabilities/operations/our-insights/sustainable-spaces-countering-climate-risk-in-capital-projects,"By taking a deeper, more comprehensive approach to understanding risk, companies can mitigate climate hazards and build resilience into the life cycle of their infrastructure and capital projects.",NEUTRAL,[],Sustainable spaces: Countering climate risk in capital projects,"[a deeper, more comprehensive approach, risk, companies, climate hazards, resilience, the life cycle, their infrastructure and capital projects]"
"Tue, 08 Nov 2022",0.9065172672271729,https://www.mckinsey.com/industries/financial-services/our-insights/strategic-m-and-a-in-us-banking-creating-value-in-uncertain-times,Uncertain times can spell opportunity for companies seeking acquisitions—if companies proceed with care. Four actions can help banks maximize the value of their M&A.,NEUTRAL,[Four actions],Strategic M&A in US banking: Creating value in uncertain times,"[Uncertain times, opportunity, companies, acquisitions—if, companies, care, Four actions, banks, the value]"
"Thu, 10 Nov 2022 19:28 EST",0.9093071222305298,http://www.nasa.gov/press-release/nasa-ula-successfully-launch-weather-satellite-re-entry-tech-demo,"NASA successfully launched the third in a series of polar-orbiting weather satellites for the National Oceanic and Atmospheric Administration (NOAA) at 1:49 a.m. PST Thursday, as well as an agency technology demonstration on a United Launch Alliance Atlas V rocket from Vandenberg Space Force Base in California.",NEUTRAL,"[NASA, third, National Oceanic and Atmospheric Administration, NOAA, 1:49 a.m. PST Thursday, United Launch Alliance, Atlas V, Vandenberg Space Force Base, California]","NASA, ULA Successfully Launch Weather Satellite, Re-entry Tech Demo","[NASA, the third, a series, polar-orbiting weather satellites, the National Oceanic and Atmospheric Administration, NOAA, 1:49 a.m. PST, Thursday, an agency technology demonstration, a United Launch Alliance Atlas V rocket, Vandenberg Space Force Base, California]"
"Mon, 07 Nov 2022 05:11 EST",0.9780857563018799,http://www.nasa.gov/press-release/nasa-science-cargo-launches-on-northrop-grumman-resupply-mission-0,"A Northrop Grumman Cygnus resupply spacecraft is on its way to the International Space Station with more than 8,200 pounds of science investigations and cargo after launching at 5:27 a.m. EST Monday from NASA’s Wallops Flight Facility in Virginia.",NEUTRAL,"[Northrop, Grumman Cygnus, International Space Station, more than 8,200 pounds, 5:27 a.m. EST, Monday, NASA, Wallops Flight Facility, Virginia]","NASA Science, Cargo Launches on Northrop Grumman Resupply Mission","[A Northrop Grumman Cygnus resupply spacecraft, its way, the International Space Station, more than 8,200 pounds, science investigations, cargo, 5:27 a.m. EST, Monday, NASA, ’s Wallops Flight Facility, Virginia]"
"Thu, 10 Nov 2022",0.8782327771186829,https://www.mckinsey.com/cn/our-insights/our-insights/winning-direct-to-consumer-strategies-for-auto-oems-in-china,Engaging with auto customers directly is becoming a make-or-break strategy for OEMs,NEUTRAL,[],Winning direct-to-consumer strategies for auto OEMs in China,"[auto customers, a make-or-break strategy]"
"Wed, 09 Nov 2022",0.9682009220123291,https://www.mckinsey.com/industries/healthcare-systems-and-services/our-insights/looking-ahead-to-the-next-decade-of-accountability-for-care-delivery,"One year ago, the Center for Medicare & Medicaid Innovation outlined five strategic objectives that signaled its priorities for the decade ahead. We examine the objectives and progress to date.",NEUTRAL,"[One year ago, Center for Medicare & Medicaid Innovation, five strategic objectives]",Looking ahead to the next decade of accountability for care delivery,"[One year, the Center, Medicare & Medicaid Innovation, five strategic objectives, its priorities, the decade, the objectives and progress, date]"
"Fri, 11 Nov 2022",0.630183756351471,https://www.mckinsey.com/industries/aerospace-and-defense/our-insights/inflation-how-defense-companies-can-support-national-security,A solid understanding of risk exposure and the contract portfolio can help defense companies support national-security interests.,NEUTRAL,[],Inflation: How defense companies can support national security,"[A solid understanding, risk exposure, the contract portfolio, defense companies, national-security interests]"
"Fri, 04 Nov 2022",0.9760702252388,https://www.mckinsey.com/industries/advanced-electronics/our-insights/the-titanium-economy-capturing-opportunities-in-the-energy-transition,Industrial technology companies have a key role in the sustainability marketplace.,NEUTRAL,[],The Titanium Economy: Capturing opportunities in the energy transition,"[Industrial technology companies, a key role, the sustainability marketplace]"
"Thu, 03 Nov 2022",0.969222366809845,https://www.mckinsey.com/industries/oil-and-gas/our-insights/refining-in-the-energy-transition-through-2040,"The size of the global refining industry varies dramatically across different energy transition scenarios by 2040. Assumptions on electric-vehicle penetration, policy commitments, and rationalization behavior are key drivers of the difference in outcomes.",NEUTRAL,[2040],Refining in the energy transition through 2040,"[The size, the global refining industry, different energy transition scenarios, 2040, Assumptions, electric-vehicle penetration, policy commitments, rationalization behavior, key drivers, the difference, outcomes]"
"Fri, 04 Nov 2022",0.5747066140174866,https://www.mckinsey.com/industries/private-equity-and-principal-investors/our-insights/chief-performance-officers-can-be-a-secret-ingredient-for-private-equity-success-heres-why,"Operating groups gain an edge when they add a CPO, but these roles are still rare in private equity firms. That should change.",NEUTRAL,[],Chief performance officers can be a secret ingredient for private equity success. Here’s why,"[Operating groups, an edge, a CPO, these roles, private equity firms]"
"Thu, 03 Nov 2022",0.8989072442054749,https://www.mckinsey.com/featured-insights/future-of-asia/videos/the-energy-transition-is-real-an-interview-with-acens-eric-francia,How does the head of one of Southeast Asia’s leading renewable-energy company view its role in the net-zero transition?,NEUTRAL,[Southeast Asia],“The energy transition is real”—an interview with ACEN’s Eric Francia,"[the head, Southeast Asia, ’s leading renewable-energy company, its role, the net-zero transition]"
"Mon, 07 Nov 2022 17:23 EST",0.9582585692405701,http://www.nasa.gov/press-release/nasa-updates-coverage-of-jpss-2-weather-satellite-loftid-tech-demo,NASA will provide coverage of the upcoming prelaunch and launch activities for the National Oceanic and Atmospheric Administration’s (NOAA’s) Joint Polar Satellite System-2 (JPSS-2) mission and NASA’s Low-Earth Orbit Flight Test of an Inflatable Decelerator (LOFTID) technology demonstration.,NEUTRAL,"[NASA, National Oceanic and Atmospheric Administration, NOAA, Joint Polar Satellite System-2, JPSS-2, NASA, Flight Test, an, Inflatable Decelerator, LOFTID]","NASA Updates Coverage of JPSS-2 Weather Satellite, LOFTID Tech Demo","[NASA, coverage, the upcoming prelaunch and launch activities, the National Oceanic and Atmospheric Administration, NOAA, Polar, JPSS-2, mission, NASA, ’s Low-Earth Orbit Flight Test, LOFTID, technology demonstration]"
"Fri, 04 Nov 2022 14:52 EDT",0.9418752789497375,http://www.nasa.gov/press-release/nasa-leaders-to-participate-in-annual-global-climate-conference,"NASA will participate in the 27th United Nations Climate Change Conference of the Parties (COP27) in Sharm El Sheikh, Egypt, which begins Sunday, Nov. 6, and runs through Friday, Nov. 18. The COP27 summit brings together countries from around the world to increase ambition by implementing existing goals and strengthening commitments to solutions th",NEUTRAL,"[NASA, 27th United Nations Climate Change Conference of the Parties, COP27, Sharm El Sheikh, Egypt, Sunday, Nov. 6, Friday, Nov. 18, COP27]",NASA Leaders to Participate in Annual Global Climate Conference,"[NASA, the 27th United Nations Climate Change Conference, the Parties, COP27, Sharm El Sheikh, Egypt, Sunday, Nov. 6, Friday, Nov. 18, The COP27 summit, countries, the world, ambition, existing goals, commitments, solutions]"
"Wed, 09 Nov 2022",0.9555220007896423,https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/scaling-up-how-founder-ceos-and-teams-can-go-beyond-aspiration-to-ascent,"For many start-ups, the challenge is no longer about securing capital—it’s about learning how to restructure themselves as fast as their products or organizations can evolve.",NEUTRAL,[many start-ups],Scaling up: How founder CEOs and teams can go beyond aspiration to ascent,"[many start-ups, the challenge, capital—it, their products or organizations]"
"Mon, 07 Nov 2022",0.9515488147735596,https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/more-for-less-five-ways-to-lower-cloud-costs-without-destroying-value,Companies can often find significant savings in their cloud programs—if they know where to look.,NEUTRAL,[],More for less: Five ways to lower cloud costs without destroying value,"[Companies, significant savings, their cloud programs—if]"
"Tue, 08 Nov 2022",0.9316869378089905,https://www.mckinsey.com/featured-insights/future-of-asia/nurturing-supply-and-demand-how-asias-energy-players-can-accelerate-green-growth,"As Asia grapples with climate change, leaders working at the intersection of customer experience, sustainability and the energy transition will need to respond to five major shifts that will help to smooth the path to net zero. Organizations with a sound understanding of balancing the supply-demand equation between changing consumer needs and energy transition requirements will be in prime position to identify and foster new green-growth opportunities.",NEUTRAL,"[Asia, five major shifts, zero]",Nurturing supply and demand: How Asia’s energy players can accelerate green growth,"[Asia, climate change, leaders, the intersection, customer experience, sustainability, the energy transition, five major shifts, the path, net zero, Organizations, a sound understanding, the supply-demand equation, consumer needs and energy transition requirements, prime position, new green-growth opportunities]"
"Tue, 08 Nov 2022",0.6130397319793701,https://www.mckinsey.com/capabilities/risk-and-resilience/our-insights/a-new-approach-to-fighting-fraud-while-enhancing-customer-experience,Fraud has escalated as digital adoption has increased. The situation requires that organizations simultaneously combat fraud and provide customers with a seamless digital experience.,NEUTRAL,[],A new approach to fighting fraud while enhancing customer experience,"[Fraud, digital adoption, The situation, organizations, fraud, customers, a seamless digital experience]"
